Frame,Width,Height,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,
88,1920,1080,1.0000,11.1311,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
89,1920,1080,1.0000,11.1311,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
90,1920,1080,1.0000,11.5351,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
91,1920,1080,1.0000,11.5351,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
92,1920,1080,1.0000,11.6955,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
93,1920,1080,1.0000,11.8223,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
94,1920,1080,1.0000,11.8223,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
95,1920,1080,1.0000,12.0745,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
96,1920,1080,1.0000,12.3043,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
97,1920,1080,1.0000,12.8132,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
98,1920,1080,1.0000,13.1268,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
99,1920,1080,1.0000,13.4002,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
100,1920,1080,1.0000,13.5004,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
101,1920,1080,1.0000,13.7125,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
102,1920,1080,1.0000,13.8044,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
103,1920,1080,1.0000,13.8044,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
104,1920,1080,1.0000,14.2276,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
105,1920,1080,1.0000,14.2440,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
106,1920,1080,1.0000,14.2217,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
107,1920,1080,1.0000,14.2146,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
108,1920,1080,1.0000,14.2146,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
109,1920,1080,1.0000,14.3784,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
110,1920,1080,1.0000,14.5131,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
111,1920,1080,1.0000,14.7626,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
112,1920,1080,1.0000,14.8150,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
113,1920,1080,1.0000,14.9331,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
114,1920,1080,1.0000,14.9331,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
115,1920,1080,1.0000,14.9373,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
116,1920,1080,1.0000,15.0063,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
117,1920,1080,1.0000,15.2974,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
118,1920,1080,1.0000,15.4937,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
119,1920,1080,1.0000,15.8947,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
120,1920,1080,1.0000,16.1045,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
121,1920,1080,1.0000,16.2465,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
122,1920,1080,1.0000,16.4099,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
123,1920,1080,1.0000,16.5354,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
124,1920,1080,1.0000,17.0050,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
125,1920,1080,1.0000,17.4651,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
126,1920,1080,1.0000,17.9036,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
127,1920,1080,1.0000,17.8171,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
128,1920,1080,1.0000,17.4772,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
129,1920,1080,1.0000,17.2058,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
130,1920,1080,1.0000,16.3896,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
