Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,ms_ssim,vmaf,
68,72.000000,11.779881,11.955482,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
69,72.000000,11.718098,11.779881,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
70,72.000000,11.180267,11.718098,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999993,0.999994,1.000000,100.000000,
71,72.000000,11.180267,11.180267,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999994,0.999993,0.999993,1.000000,100.000000,
72,72.000000,11.347423,11.347423,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999993,0.999993,1.000000,100.000000,
73,72.000000,10.961054,11.501189,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
74,72.000000,10.955339,10.961054,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
75,72.000000,10.645044,10.955339,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
76,72.000000,10.586963,10.645044,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
77,72.000000,10.238163,10.586963,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
78,72.000000,10.238163,10.238163,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
79,72.000000,10.409499,10.449619,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
80,72.000000,10.409038,10.409499,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
81,72.000000,10.409038,10.409038,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
82,72.000000,10.439366,10.439366,1.000000,1.000002,1.000010,1.000000,1.000000,1.000001,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
83,72.000000,10.707146,10.739141,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
84,72.000000,10.707146,10.707146,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
